
### Neo-Feudal

monarchy_emperor_indo_duuryaatri;Raajadhiraaja;Raajadhiraaja;Raajadhiraaja;;Raajadhiraaja;;;;;;;;;x
monarchy_emperor_female_indo_duuryaatri;Raajadhiraajani;Raajadhiraajani;Raajadhiraajani;;Raajadhiraajani;;;;;;;;;x
monarchy_emperor_title_ruler_consort_indo_duuryaatri;Raajapurushan;Raajapurushan;Raajapurushan;;Raajapurushan;;;;;;;;;x
monarchy_emperor_title_ruler_consort_female_indo_duuryaatri;Raajapatni;Raajapatni;Raajapatni;;Raajapatni;;;;;;;;;x
monarchy_emperor_foa_indo_duuryaatri;O King of Kings;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
monarchy_emperor_foa_female_indo_duuryaatri;O Queen of Queens;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
monarchy_empire_of_indo_duuryaatri;Antariksh Saamraajya;Antariksh Saamraajya;Antariksh Saamraajya;;Antariksh Saamraajya;;;;;;;;;x
monarchy_empire_indo_duuryaatri;Antariksh Saamraajya;Antariksh Saamraajya;Antariksh Saamraajya;;Antariksh Saamraajya;;;;;;;;;x
monarchy_empires_indo_duuryaatri;Antariksh Saamraajyas;Antariksh Saamraajyas;Antariksh Saamraajyas;;Antariksh Saamraajyas;;;;;;;;;x

monarchy_king_indo_duuryaatri;Mahaaraaja;Mahaaraaja;Mahaaraaja;;Mahaaraaja;;;;;;;;;x
monarchy_king_female_indo_duuryaatri;Mahaaraani;Mahaaraani;Mahaaraani;;Mahaaraani;;;;;;;;;x
monarchy_king_title_ruler_consort_indo_duuryaatri;Raajapurushan;Raajapurushan;Raajapurushan;;Raajapurushan;;;;;;;;;x
monarchy_king_title_ruler_consort_female_indo_duuryaatri;Raajapatni;Raajapatni;Raajapatni;;Raajapatni;;;;;;;;;x
monarchy_king_foa_indo_duuryaatri;O Great King;Votre Majesté;Eure Majestät;;Su Majestad;;;;;;;;;x
monarchy_king_foa_female_indo_duuryaatri;O Great Queen;Votre Majesté;Eure Majestät;;Su Majestad;;;;;;;;;x
monarchy_kingdom_of_indo_duuryaatri;Antariksh Raajya;Antariksh Raajya;Antariksh Raajya;;Antariksh Raajya;;;;;;;;;x
monarchy_kingdom_indo_duuryaatri;Antariksh Raajya;Antariksh Raajya;Antariksh Raajya;;Antariksh Raajya;;;;;;;;;x
monarchy_kingdoms_indo_duuryaatri;Antariksh Raajyas;Antariksh Raajyas;Antariksh Raajyas;;Antariksh Raajyas;;;;;;;;;x

monarchy_duke_indo_duuryaatri;Raaja;Raaja;Raaja;;Raaja;;;;;;;;;x
monarchy_duke_female_indo_duuryaatri;Raani;Raani;Raani;;Raani;;;;;;;;;x
monarchy_duke_title_ruler_consort_indo_duuryaatri;Raajapurushan;Raajapurushan;Raajapurushan;;Raajapurushan;;;;;;;;;x
monarchy_duke_title_ruler_consort_female_indo_duuryaatri;Raajapatni;Raajapatni;Raajapatni;;Raajapatni;;;;;;;;;x
monarchy_duke_foa_indo_duuryaatri;O King;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
monarchy_duke_foa_female_indo_duuryaatri;O Queen;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
monarchy_duchy_of_indo_duuryaatri;Mandal;Mandal;Mandal;;Mandal;;;;;;;;;x
monarchy_duchy_indo_duuryaatri;Mandal;Mandal;Mandal;;Mandal;;;;;;;;;x
monarchy_duchies_indo_duuryaatri;Mandals;Mandals;Mandals;;Mandals;;;;;;;;;x

monarchy_count_indo_duuryaatri;Nakshatrapati;Nakshatrapati;Nakshatrapati;;Nakshatrapati;;;;;;;;;x
monarchy_count_female_indo_duuryaatri;Nakshatreshwari;Nakshatreshwari;Nakshatreshwari;;Nakshatreshwari;;;;;;;;;x
monarchy_count_title_ruler_consort_indo_duuryaatri;Purushan;Purushan;Purushan;;Purushan;;;;;;;;;x
monarchy_count_title_ruler_consort_female_indo_duuryaatri;Patni;Patni;Patni;;Patni;;;;;;;;;x
monarchy_count_foa_indo_duuryaatri;O Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
monarchy_count_foa_female_indo_duuryaatri;O Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
monarchy_county_of_indo_duuryaatri;Nakshatra;Nakshatra;Nakshatra;;Nakshatra;;;;;;;;;x
monarchy_county_indo_duuryaatri;Nakshatra;Nakshatra;Nakshatra;;Nakshatra;;;;;;;;;x
monarchy_counties_indo_duuryaatri;Nakshatras;Nakshatras;Nakshatras;;Nakshatras;;;;;;;;;x

monarchy_baron_indo_duuryaatri;Grahapati;Grahapati;Grahapati;;Grahapati;;;;;;;;;x
monarchy_baron_female_indo_duuryaatri;Graheshwari;Graheshwari;Graheshwari;;Graheshwari;;;;;;;;;x
monarchy_baron_title_ruler_consort_indo_duuryaatri;Purushan;Purushan;Purushan;;Purushan;;;;;;;;;x
monarchy_baron_title_ruler_consort_female_indo_duuryaatri;Patni;Patni;Patni;;Patni;;;;;;;;;x
monarchy_baron_foa_indo_duuryaatri;O Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
monarchy_baron_foa_female_indo_duuryaatri;O Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
monarchy_barony_of_indo_duuryaatri;Graha;Graha;Graha;;Graha;;;;;;;;;x
monarchy_barony_indo_duuryaatri;Graha;Graha;Graha;;Graha;;;;;;;;;x
monarchy_baronies_indo_duuryaatri;Grahas;Grahas;Grahas;;Grahas;;;;;;;;;x

### Civil

civil_emperor_indo_duuryaatri;Pradhaan Mantri;Pradhaan Mantri;Pradhaan Mantri;;Pradhaan Mantri;;;;;;;;;x
civil_emperor_female_indo_duuryaatri;Pradhaan Mantri;Pradhaan Mantri;Pradhaan Mantri;;Pradhaan Mantri;;;;;;;;;x
civil_emperor_title_ruler_consort_indo_duuryaatri;Mantriyin Purushan;Mantriyin Purushan;Mantriyin Purushan;;Mantriyin Purushan;;;;;;;;;x
civil_emperor_title_ruler_consort_female_indo_duuryaatri;Mantriyin Patni;Mantriyin Patni;Mantriyin Patni;;Mantriyin Patni;;;;;;;;;x
civil_emperor_foa_indo_duuryaatri;Esteemed Mantri;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
civil_emperor_foa_female_indo_duuryaatri;Esteemed Mantri;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
civil_empire_of_indo_duuryaatri;Antariksh Desh;Antariksh Desh;Antariksh Desh;;Antariksh Desh;;;;;;;;;x
civil_empire_indo_duuryaatri;Antariksh Desh;Antariksh Desh;Antariksh Desh;;Antariksh Desh;;;;;;;;;x
civil_empires_indo_duuryaatri;Antariksh Deshs;Antariksh Deshs;Antariksh Deshs;;Antariksh Deshs;;;;;;;;;x

civil_king_indo_duuryaatri;Mukhyamantri;Mukhyamantri;Mukhyamantri;;Mukhyamantri;;;;;;;;;x
civil_king_female_indo_duuryaatri;Mukhyamantri;Mukhyamantri;Mukhyamantri;;Mukhyamantri;;;;;;;;;x
