#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
found_mukta_duniya_empire;Found Aazaad Empire;;;;;;;;;;;;x
found_mukta_duniya_empire_desc;Aazaad Duniya is ascendant, a great empire among the stars. It is as powerful a nation as the old Confederation ever was, and now is the time to proclaim that to the galaxy.;;;;;;;;;;;;x

e_mukta_duniya;Aazaad Duniya;;;;;;;;;;;;;x
e_mukta_duniya_adj;Aazaad;;;;;;;;;;;;;x
k_mukta_duniya;Aazaad Duniya;;;;;;;;;;;;;x
k_mukta_duniya_adj;Aazaad;;;;;;;;;;;;;x
k_mukta_duniya_navy;Aazaad Navy;;;;;;;;;;;;;x
k_mukta_duniya_navy_adj;Aazaad Naval;;;;;;;;;;;;;x
d_mukta_duniya_fleet;Aazaad Duniya Peacekeepers;;;;;;;;;;;;;x
d_mukta_duniya_fleet_adj;Aazaad Duniya Military;;;;;;;;;;;;;x
d_mukta_duniya_first_fleet;First Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_first_fleet_adj;First Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_second_fleet;Second Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_second_fleet_adj;Second Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_third_fleet;Third Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_third_fleet_adj;Third Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_fourth_fleet;Fourth Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_fourth_fleet_adj;Fourth Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_fifth_fleet;Fifth Aazaad Fleet;;;;;;;;;;;;;x
d_mukta_duniya_fifth_fleet_adj;Fifth Aazaad Fleet;;;;;;;;;;;;;x

c_vn_3110;Raatri;Raatri;Raatri;;Raatri;;;;;;;;;x
c_vn_1571;Nehru;Nehru;Nehru;;Nehru;;;;;;;;;x
c_vn_1780;Naaraayan;Naaraayan;Naaraayan;;Naaraayan;;;;;;;;;x
c_vn_381;Dharmaalay;Dharmaalay;Dharmaalay;;Dharmaalay;;;;;;;;;x
c_vn_32;Vairam;Vairam;Vairam;;Vairam;;;;;;;;;x
c_vn_1241;Tiisri Dilli;Tiisri Dilli;Tiisri Dilli;;Tiisri Dilli;;;;;;;;;x
c_vn_362;Nai Madurai;Nai Madurai;Nai Madurai;;Nai Madurai;;;;;;;;;x
c_vn_128;Vaayu;Vaayu;Vaayu;;Vaayu;;;;;;;;;x
c_vn_697;Arasapuram;Arasapuram;Arasapuram;;Arasapuram;;;;;;;;;x
c_vn_732;Dvaar;Dvaar;Dvaar;;Dvaar;;;;;;;;;x

d_ghandi;Gandhi;;;;;;;;;;;;;x
d_ghandi_adj;Gandhian;;;;;;;;;;;;;x

k_loyalist;Loyalist Coalition;;;;;;;;;;;;;x
k_loyalist_adj;Loyalist;;;;;;;;;;;;;x

e_bhaarat;Bhaarat;;;;;;;;;;;;;x
e_bhaarat_adj;Bhaaratiya;;;;;;;;;;;;;x
