#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
###### Religion/titles definitions;;;;;;;;;;;;;;x,,,
GK_GOD;Reason;;;;;;;;;;;;;x,,,
GK_HUMANITY;Humanity;;;;;;;;;;;;;x,,,
GK_REASON;Reason;;;;;;;;;;;;;x,,,
GK_CRUSADE;Liberation;;;;;;;;;;;;;x,,,
GK_SCRIPTURE;Science;;;;;;;;;;;;;x,,,
GK_PIETY_NAME;Reason;;;;;;;;;;;;;x,,,
GK_PRIEST_TITLE;Religious Committee Member;;;;;;;;;;;;;x,,,
GK_POPE;=Pope=;;;;;;;;;;;;;x,,,
STAT_PIETY_GK_REASON;Reason;;;;;;;;;;;;;x,,,
STAT_PIETY_DESC_GK_REASON;Reason is respected by other non-religious people. Like Prestige, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x,,
STAT_PIETY_MENU_GK_REASON;Reason;;;;;;;;;;;;;x,,,
MONTHLY_PIETY_GK_REASON;Monthly Piety GK Reason, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x,,
atheism;Universalism;;;;;;;;;;;;;x,,,
atheism_reformed;Reformed Universalism;;;;;;;;;;;;;x,,,
atheism_group;Universalism;;;;;;;;;;;;;x,,,
atheism_group;Reformed Universalism;;;;;;;;;;;;;x,,,
atheism_DESC;Universalism is the lack of belief in any gods. It is not a religion, but it is often wrongly treated as one. Universalists still have moral codes, including a sense of right and wrong. Those codes often come from an inner sense of compassion for their fellow human beings.;;;;;;;;;;;;;x,
atheism_reformed_DESC;Universalism is the lack of belief in any gods. It is not a religion, but it is often wrongly treated as one. Universalists still have moral codes, including a sense of right and wrong. Those codes often come from an inner sense of compassion for their fellow human beings. To fight back religious persecution, a group of Universalists decided to form a permanent organization called Comintern.;;;;;;;;;;;;;x
,,,
###### Governments,,,
PDD_government;People's Democratic Dictatorship;;;;;;;;;;;;;x,,,
PDD_government_desc;People's Democratic Dictatorship functions the same way as a standard feudal government, except that cities can be held without penalty," and building temples is impossible. Meanwhile, revoking feudal titles whose owner follows other religions is free. ;;;;;;;;;;;;;x",
,,,
###### Mercenaries,,,
d_militant_atheists;Universalist Defense League;;;;;;;;;;;;;x,,,
d_legion_freethinkers;Legion of Freethinkers;;;;;;;;;;;;;x,,,
d_knights_reason;Knights of Reason;;;;;;;;;;;;;x,,,
d_red_army;Red Army;;;;;;;;;;;;;x,,,
d_reformed_legion_freethinkers;Reformed Legion of Freethinkers;;;;;;;;;;;;;x,,,
d_vanguard_knights;Vanguard Knights;;;;;;;;;;;;;x,,,
,,,
###### CB,,,
CB_NAME_ATHEISTLIBERATION;Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
WAR_NAME_ATHEISTLIBERATION;Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
secular_liberation_desc;Universalist rulers can liberate territory from religious ones. Nearby religious rulers will likely join in to help the defender. This war is much like a holy war. If the target abandons religion, the war will invalidate.;;;;;;;;;;;;;x,,
nick_the_liberator;The Liberator;;;;;;;;;;;;;x,,,
CB_NAME_ATHEISTHOLYWAR;Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
WAR_NAME_ATHEISTHOLYWAR;Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
atheism_holy_war_desc;Universalist rulers can liberate territory from religious ones. Nearby religious rulers will likely join in to help the defender. This war is much like a holy war. If the target abandons religion, the war will invalidate.;;;;;;;;;;;;;x,,
CB_NAME_ATHEISM_GREAT_CRUSADE;International Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
WAR_NAME_ATHEISM_GREAT_CRUSADE;International Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x,,,
atheism_great_crusade_desc;Atheists all around the world are organized and well-prepared under Comintern now. Liberate people from religious poisoning! Universalists of the world, unite! Conquered lands will be distributed to claimants and those who contributed most to the war, much like a crusade. If the target abandons religion, the war will invalidate.;;;;;;;;;;;;;x
