### events EW_flavor.100 upto EW_flavor.199

TITLE_EW_visit_shrine_start;The Shrines;;;;;;;;;x
EVTDESC_EW_visit_shrine_start;The great shrines of the Lord are scattered throughout the islands, and you can visit a shrine if the province on which it is built is under your control.\n\n Which one do you wish to travel to?;;;;;;;;;x

OPT_A_visit_vn_381;The Temple of the One-Toothed;;;;;;;;;x
TITLE_visit_vn_381_journey;A Grand Temple;;;;;;;;;x
EVTDESC_visit_vn_381_journey;Upon nearing the town where the temple is located, your attendants and guards part with you, as you must complete the final leg of your journey on your own. You begin walking the long road to the temple of Ekadanta, or the One-Toothed, a manifestation of the Lord.\n\n In the middle of your journey, you see various stalls selling religious paraphernalia to offer to the diety. Tired from the constant walking, you stop at one of these shops, striking up idle conversation with the shopkeeper.\n\nYour eyes fall on a basket of bright blue flowers of a rare variety, used for ritual purposes. ;;;;;;;;;x
OPT_A_visit_vn_381_journey;I shall buy some to offer to the Lord;;;;;;;;;x
OPT_B_visit_vn_381_journey;There is no need for such things;;;;;;;;;x
TITLE_visit_vn_381_reached;Arrival at the Temple;;;;;;;;;x
EVTDESC_visit_vn_381_reached;You have finally reached the temple. Among the throng of devotees, a priest recognizes you and leads you through the crowd and into the inner sanctum of the temple.\n\n The priest points to the far corner of the chamber. Turning to look, you see the statue of the One-Toothed. You have heard descriptions of it before, but you are still started by its appearance. Its form was as if parts from various creatures were combined into one, and it had a head like an elephant of Sol. You prostrate yourself before this manifestation of the Lord, and resolve to spend the following days in its worship.;;;;;;;;;x
OPT_A_visit_vn_381_reached;Iishvar is second to none!;;;;;;;;;x
TITLE_visit_vn_381_end;Time to Depart;;;;;;;;;x
EVTDESC_visit_vn_381_end;After spending a few days in the temple, you decide to return. Prostrating yourself before the One-Toothed Lord one last time, you then hand a basket of ritual offerings to the priest nearby, who recites a prayer before placing the basket at the statue's feet.\n\n Then, all the priests begin chanting a final prayer of thanks, and you repeat after them. You turn to leave the temple, in order to attend to more secular matters.;;;;;;;;;x
OPT_A_visit_vn_381_end;I shall remember this visit;;;;;;;;;x

OPT_B_visit_vn_732;Andavan's High Abode;;;;;;;;;x
TITLE_visit_vn_732_journey;Andavan's Hill;;;;;;;;;x
EVTDESC_visit_vn_732_journey;Upon nearing your destination, your attendants and guards part with you, as you must complete the final leg of your journey on your own. You look towards the hill before you, on top of which lies the Shrine of Andavan, a manifestation of the Lord.\n\n Several hours pass as you inch closer to the summit, stopping intermittently to rest. Eventually, you reach a place where you have the choice of taking the regular route, or a shortcut, although the latter route is quite difficult.;;;;;;;;;x
OPT_A_visit_vn_732_journey;I'll take the regular route;;;;;;;;;x
OPT_B_visit_vn_732_journey;Speed is of essence;;;;;;;;;x
TITLE_visit_vn_732_reached;The Abode;;;;;;;;;x
EVTDESC_visit_vn_732_reached;As you ascend the steps leading up to the shrine's entrance, you catch a glimpse of the statue of the god Andavan. It towers over you, almost twice your height. You watch on as the priests place several offerings in front of him.\n\n Soon, the priests direct you to your quarters, where you will spend the next few days in quiet prayer and contemplation.;;;;;;;;;x
OPT_A_visit_vn_732_reached;Glory to the Lord!;;;;;;;;;x
TITLE_visit_vn_732_end;Time to Depart;;;;;;;;;x
EVTDESC_visit_vn_732_end;Having ended your visit, you place offerings of food in front of Andavan while the priests chant prayers.\n\n You then make a donation to the shrine, and walk towards the gates. You hesitate for a moment, muttering a small prayer before leaving.\n\n The journey down the hill is uneventful, but the memories of your visit linger in your thoughts still. ;;;;;;;;;x
OPT_A_visit_vn_732_end;Farewell, O Iishvar;;;;;;;;;x

OPT_C_visit_vn_1780;The Shrine at Naaraayan;;;;;;;;;x
TITLE_visit_vn_1780_journey;The Journey;;;;;;;;;x
EVTDESC_visit_vn_1780_journey;Shielding your eyes from the harsh sun of the Naaraayan system, you look through the windshield at the empty stretch of land as you drive towards your destination on a utility vehicle. You unfurl your map and look dejectedly at it, as you realize you still have a long journey ahead of you.\n\n After about a day's worth of travel, you spot a convoy heading along the same path. Upon further investigation, you discover that their destination is close to Naaraayan's shrine. You calculate that you have enough fuel to make it to the shrine and back, but you also have the option of joining the convoy.;;;;;;;;;x
OPT_A_visit_vn_1780_journey;If I drive quickly, I can make it in a few days;;;;;;;;;x
OPT_B_visit_vn_1780_journey;Going with the convoy would be safer;;;;;;;;;x
TITLE_visit_vn_1780_reached_1;An Unexpected Detour;;;;;;;;;x
EVTDESC_visit_vn_1780_reached_1;It seems that in your rush to reach the shrine of Naaraayan, you have managed to get lost among the winding paths of the region. After hours of trying to find your way back to the main path, you exit your vehicle and set up camp for the night. The next morning, as you scout the surrounding plains, you spot a potential route. You set out immediately, and soon manage to spot a marker pointing the way to the system of caves where the shrine is located.;;;;;;;;;x
OPT_A_visit_vn_1780_reached_1;The Lord would not lead me astray;;;;;;;;;x
TITLE_visit_vn_1780_reached_2;The Convoy;;;;;;;;;x
EVTDESC_visit_vn_1780_reached_2;Staring intently at your map, you estimate that you are merely a few days away from your destination. The vehicles in the convoy began to stop near a refueling station. You were so engrossed in the map that you didn't notice that the sky had darkened already.\n\nRefueling would take till morning, but you don't feel particularly sleepy. You disembark and walk towards the various camps set up by travellers. You see a group of merchants absorbed in a board game, while other travellers exchanging stories and idle banter. One of them recognizes you, and beckons you to join them in conversation.;;;;;;;;;x
OPT_A_visit_vn_1780_reached_2;No harm in a little chat;;;;;;;;;x
OPT_B_visit_vn_1780_reached_2;I'm not in the mood for idle talk;;;;;;;;;x
OPT_C_visit_vn_1780_reached_2;That board game seems fun;;;;;;;;;x
TITLE_visit_vn_1780_end;The Patron of Naaraayan;;;;;;;;;x
EVTDESC_visit_vn_1780_end;At last, you spot the sacred cave where the shrine is built. You gesture at your companions from the convoy who chose to tag along, motioning for them to stop, while you step into the cave.\n\n Inside, you see various statues made of marble, whose paint has presumably faded over time, with the largest one of all being at the far end of the complex. It is Naaraayan, a manifestation of the Lord, after whom the star is named. You bow your head in reverence, and contemplate him in prayer for a a long time. Then, you say a final farewell, and leave the cave. Your companions pay their respects to Naaraayan from outside, and then you begin to return.;;;;;;;;;x
OPT_A_visit_vn_1780_end;I thank the Lord of All;;;;;;;;;x

OPT_D_visit_cancel;On second thought, I would rather not;;;;;;;;;x

EVTDESC_EW_visit_shrine_pilgrim;As you have made several pilgrimages to holy sites, you are now known as a pilgrim.;;;;;;;;;x
OPT_A_EW_visit_shrine_pilgrim;Very Well;;;;;;;;;x

EVTDESC_EW_visit_shrine_interrupted;Owing to your current situation, you were forced to cancel your pillgrimage.;;;;;;;;;x
OPT_A_EW_visit_shrine_interrupted;Unfortunate;;;;;;;;;x

### events EW_flavor.200 upto EW_flavor.299

EVTDESC_EW_increased_pilgrimage;The [This.GetName] System is a major pilgrimage site for adherents of the Eternal Way. While a great many pilgrims travel to [This.GetName] periodically, in the last few months the number of pilgrims has increased dramatically. The local infrastructure is proving incapable of handling them, and government officials have asked you to help finance a temporary expansion to meet the travellers' needs.;;;;;;;;;x
OPT_A_EW_increased_pilgrimage;Anything for the pilgrims;;;;;;;;;;;;;x
OPT_B_EW_increased_pilgrimage;Turn them away;;;;;;;;;;;;;x

EVTDESC_EW_impious_ruler;A renowned religious scholar has gained infamy in the [This.GetName] system for speaking out against the ruler. The scholar criticizes that [Root.GetTitledFirstName] does not pay enough attention to matters of religion, and alleges that you act in an impious manner.;;;;;;;;;x
OPT_A_EW_impious_ruler;Unfortunate;;;;;;;;;;;;;x
OPT_B_EW_impious_ruler;Arrest that scholar!;;;;;;;;;;;;;x
OPT_C_EW_impious_ruler;Impious?! Me?!!;;;;;;;;;;;;;x

EVTDESC_EW_province_conversion;The [This.GetName] system has recently been the target of missionary activity from adherents of the Eternal way. These activities primarily consist of independent action by charismatic preachers who recite tales from the scripture and awe the populace with acts of piety and austerity. Increasingly large amounts of people are being swayed to the Eternal Way, and adherents may soon become the majority within the system.;;;;;;;;;x
OPT_A_EW_province_conversion;Interesting;;;;;;;;;;;;;x
OPT_B_EW_province_conversion;Restrict these activities;;;;;;;;;;;;;x
OPT_C_EW_province_conversion;Perhaps there is truth in the Eternal Way;;;;;;;;;;;;;x

### events EW_flavor.300 upto EW_flavor.399

EVTDESC_EW_uncrowned;The legitimacy of a ruler ultimately stems from Iishvar, and therefore it is of paramount importance for a monarch to obtain divine sanction for their rule. You must crown yourself as soon as possible, lest your vassals cease to recognize your authority altogether.;;;;;;;;;x
OPT_A_EW_uncrowned;Unfortunate;;;;;;;;;x

EVTDESC_coronation_A_310;Now that I have found an [Root.Religion.GetName] priest willing to crown me and made all the necessary preparations, I must decide how much I wish to spend on the ceremony leading up to it.;Maintenant que j'ai trouvé un prêtre [Root.GetReligionMasc] pour officier à mon couronnement, je dois décider combien je souhaite dépenser pour la cérémonie.;Jetzt, wo ich einen [Root.Religion.GetName]en Priester gefunden habe, der bereit ist mich zu krönen, muss ich entscheiden, wie viel ich für die Zeremonie ausgeben möchte.;;Ahora que he encontrado un sacerdote dispuesto a coronarme, debo decidir cuánto deseo gastar en la ceremonia en sí.;;;;;;;;;x
EVTDESC_coronation_B_310;Now that I have found a distinguished member of the [Root.Religion.GetName] clergy to officiate the rites and made all the necessary preparations, it is time to organize the ceremony itself. Unfortunately, the necessities imposed by the war I am waging will force me to have only a small gathering of my closest allies to witness this momentous occasion.;Puisque j'ai trouvé un membre éminent du clergé catholique pour officier dans les rites, il est temps d'organiser la cérémonie. Malheureusement, les nécessités imposées par la guerre que je mène me contraindront à n'avoir qu'un petit rassemblement de mes plus proches alliés pour assister à cette occasion mémorable.;Jetzt, wo ich ein angesehenes Mitglied des katholischen Klerus gefunden habe, das die Krönung leitet, ist es an der Zeit die Zeremonie selbst zu organisieren. Leider zwingt mich die Notwendigkeit, die mir der Krieg aufgelegt hat, nur zu einer kleinen Versammlung meiner engsten Verbündeten, um diese wichtige Gelegenheit mitzuerleben.;;Ahora que he encontrado un miembro distinguido del clero católico para que celebre los ritos, es hora de organizar la ceremonia en sí. Por desgracia, las necesidades impuestas por la guerra que estoy librando me obligarán a tener solamente una pequeña reunión de mis aliados más cercanos como testigos de esta ocasión memorable.;;;;;;;;;x

OPT_A_coronation_310;It shall be an extravagant ceremony.;Ce sera une cérémonie somptueuse.;Es soll eine extravagante Zeremonie sein.;;Sera una ceremonia extravagante;;;;;;;;x
OPT_B_coronation_310;A dignified ceremony will do.;Ce sera une cérémonie digne.;Eine würdige Zeremonie ist ausreichend.;;Bastará con una ceremonia digna ceremonia.;;;;;;;;x
OPT_C_coronation_310;I will have a private ceremony.;Ce sera une cérémonie privée.;Ich werde eine private Zeremonie abhalten.;;Tendré una ceremonia privada.;;;;;;;;x
OPT_D_coronation_310;It is what it is...;C'est ainsi...;Es ist, wie es ist...;;Es lo que hay…;;;;;;;;;x

