#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,
#The society name,,
marxist_society;Voice of Marxism;;;;;;;;;;;;;x,,
string_marxist_society;marxist_society;;;;;;;;;;;;;x,,
#The society description,,
marxist_society_desc;Marxism is a method of socioeconomic analysis that views class relations and social conflict using a materialist interpretation of historical development and takes a dialectical view of social transformation. It originates from the works of 19th-century German philosophers Karl Marx and Friedrich Engels.;;;;;;;;;;;;;x,,
#Standing Central Commissary description,,
marxist_society_leader_desc;Standing Commissaries are members of the Standing Committee of the Central Bureau of Voice of Marxism, which is a committee consisting of the top leadership of Voice of Marxism. Its officially mandated purpose is to conduct policy discussions and make decisions on major issues when the Central Bureau is not in session.;;;;;;;;;;;;;x,
#Name of the ranks,,
marxist_society_rank_1_female;Member;;;;;;;;;;;;;x,,
marxist_society_rank_2_female;Branch Commissary;;;;;;;;;;;;;x,,
marxist_society_rank_3_female;Central Commissary;;;;;;;;;;;;;x,,
marxist_society_rank_4_female;Standing Commissary;;;;;;;;;;;;;x,,
marxist_society_rank_1_male;Member;;;;;;;;;;;;;x,,
marxist_society_rank_2_male;Branch Commissary;;;;;;;;;;;;;x,,
marxist_society_rank_3_male;Central Commissary;;;;;;;;;;;;;x,,
marxist_society_rank_4_male;Standing Commissary;;;;;;;;;;;;;x,,
#Name of the currency,,
marxist_society_currency;Theory Contribution;;;;;;;;;;;;;x,,
#Rank up button name,,
request_to_rank_up_within_marxist_society;Request to rank up.;;;;;;;;;;;;;x,,
#For tooltip that require being a member,,
IS_marxist_society_TRIGGER;Is a member of Voice of Marxism.;;;;;;;;;;;;;x,,
Preach_marxist_society_currency_TRIGGER;Have 1000 Theoretical Contribution.;;;;;;;;;;;;;x,,
#Rank up decision if you made a custom one, alongside the required custom_local,
request_to_rank_up_within_marxist_society;Request a Promotion.;;;;;;;;;;;;;x,,
request_to_rank_up_within_marxist_society_tt;Has ??Y[Root.Society.GetCurrency]??! greater or equal to [Root.GetSocietyRankUpTooltip1];;;;;;;;;;;;;x,,
GetTutorialRankUpTooltip_Standard_Rank1;??Y[Root.Society.GetCurrency]??!;;;;;;;;;;;;;x,,
GetTutorialRankUpTooltip_Standard_Rank2;??Y[Root.Society.GetCurrency]??!;;;;;;;;;;;;;x,,
GetTutorialRankUpTooltip_Standard_Rank3;??Y[Root.Society.GetCurrency]??!;;;;;;;;;;;;;x,,
,,
#Name of the decision,,
marxist_society_power_1;Publish a Marxism paper for gold;;;;;;;;;;;;;x,,
marxist_society_adopt_atheism;Adopt Universalism;;;;;;;;;;;;;x,,
marxist_society_learning;Learn classical Marxism writers' works;;;;;;;;;;;;;x,,
marxist_society_preach;Convert to Universalism;;;;;;;;;;;;;x,,
marxist_society_prisoner_education;Prisoner Education;;;;;;;;;;;;;x,,
marxist_society_donate;Donate to Voice of Marxism;;;;;;;;;;;;;x,,
#Tooltip of the decision,,
marxist_society_power_1_desc;Trade Theoretical Contribution for gold.;;;;;;;;;;;;;x,,
marxist_society_adopt_atheism_desc;Convert your religion to Universalism.;;;;;;;;;;;;;x,,
marxist_society_learning_desc;Gain attribute points by learning classical Marxism writers' works.;;;;;;;;;;;;;x,,
marxist_society_preach_desc;Convert your targeted person's religion to Universalism.;;;;;;;;;;;;;x,,
marxist_society_prisoner_education_desc;Educate your prisoner to convert into Universalism without spending Theory Contribution.;;;;;;;;;;;;;x,,
marxist_society_donate_desc;Donate to Voice of Marxism, increasing your Theory Contribution.;;;;;;;;;;;;;x,
#Tooltip of the decision in the society menu,,
marxist_society_power_1_power_desc;Trade 100 Theoretical Contribution for 10 gold.;;;;;;;;;;;;;x,,
marxist_society_adopt_atheism_power_desc;Convert your religion to Universalism.;;;;;;;;;;;;;x,,
marxist_society_learning_power_desc;Gain attribute points by learning classical Marxism writers' works.;;;;;;;;;;;;;x,,
marxist_society_preach_power_desc;Convert your targeted person's religion to Universalism.;;;;;;;;;;;;;x,,
marxist_society_prisoner_education_power_desc;Convert your targeted prisoner's religion to Universalism.;;;;;;;;;;;;;x,,
marxist_society_donate_power_desc;Donate to Voice of Marxism, increasing your Theory Contribution.;;;;;;;;;;;;;x,
 ,,
#This event is for joining,,
EVTDESC_MARXISTSOCI_102;You want to join my glorious society?;;;;;;;;;;;;;x,,
EVTOPTA_MARXISTSOCI_102;Yes, comrade.;;;;;;;;;;;;;x,
EVTOPTB_MARXISTSOCI_102;I'm not so sure anymore.;;;;;;;;;;;;;x,,
,,
#This event is for rank up,,
EVTDESC_MARXISTSOCI_122;Greetings [Root.GetSocietyRank] [Root.GetFirstName],\nYou can rank up. [Root.Society.GetName].\n\nSigned,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_EVTDESC_MARXISTSOCI_122_122;Great.;;;;;;;;;;;;;x,,
,,
#Name for a quest,,
marxist_society_quest_donate;Make a donation;;;;;;;;;;;;;x,,
#Name for a quest if there is no quest target,,
marxist_society_quest_donate_fallback;Make a donation;;;;;;;;;;;;;x,,
marxist_society_quest_donate_desc;Donate money to Voice of Marxism.;;;;;;;;;;;;;x,,
marxist_society_quest_donate_tooltip;Donate money through the decision in the intrige menu.;;;;;;;;;;;;;x,,
,,
#Start Quest event,,
EVTDESC_MARXISTSOCI_141;The society is now under deficit, and any help is appreciated. Would you like to donate money for more Contribution?;;;;;;;;;;;;;x,
,,
#End Quest event,,
EVTDESC_MARXISTSOCI_142;Your donation is very valuable. Thank you for your help.;;;;;;;;;;;;;x,,
EVTOPTA_MARXISTSOCI_142;You are welcome.;;;;;;;;;;;;;x,,
,,
#Learning event,,
EVTDESC_MARXISTSOCI_150;A scholar from the society comes to see you, telling you that he is assigned to help your learning ability.;;;;;;;;;;;;;x,
EVTOPTA_MARXISTSOCI_150;Yes, please help me!;;;;;;;;;;;;;x,
EVTOPTB_MARXISTSOCI_150;I think other society members need more help other than me. Go and help them.;;;;;;;;;;;;;x,,
,,
#Learning event,,
EVTDESC_MARXISTSOCI_151;A famous scholar from the society comes to see you, telling you that he is assigned to improve your abilities.;;;;;;;;;;;;;x,
EVTOPTA_MARXISTSOCI_151;I want some diplomacy advice!;;;;;;;;;;;;;x,,
EVTOPTB_MARXISTSOCI_151;I want some martial advice!;;;;;;;;;;;;;x,,
EVTOPTC_MARXISTSOCI_151;I want some stewardship advice!;;;;;;;;;;;;;x,,
EVTOPTD_MARXISTSOCI_151;I want some intrigue advice!;;;;;;;;;;;;;x,,
,,
#Donation event,,
EVTNAME_MARXISTSOCI_160;Donation;;;;;;;;;;;;;x,,
EVTDESC_MARXISTSOCI_160;How much will you donate to the society?;;;;;;;;;;;;;x,,
EVTOPTA_MARXISTSOCI_160;I will donate my pocket money.;;;;;;;;;;;;;x,,
EVTOPTB_MARXISTSOCI_160;I want to donate some money.;;;;;;;;;;;;;x,,
EVTOPTC_MARXISTSOCI_160;I want to donate a lot of money!;;;;;;;;;;;;;x,,
EVTOPTD_MARXISTSOCI_160;I am not sure...;;;;;;;;;;;;;x,,
,,
#Adopt Universalism,,
EVTNAME_MARXISTSOCI_1000;LEARNING!;;;;;;;;;;;;;x,,
EVTDESC_MARXISTSOCI_1000;Learn Marxists' books.;;;;;;;;;;;;;x,,
EVTOPTA_MARXISTSOCI_1000;Learn Marx's work.;;;;;;;;;;;;;x,,
EVTOPTB_MARXISTSOCI_1000;Learn Engels' work.;;;;;;;;;;;;;x,,
EVTOPTC_MARXISTSOCI_1000;What else?;;;;;;;;;;;;;x,,
EVTOPTA_MARXISTSOCI_1001;Learn Lenin's work.;;;;;;;;;;;;;x,,
EVTOPTB_MARXISTSOCI_1001;Learn Stalin's work.;;;;;;;;;;;;;x,,
EVTOPTC_MARXISTSOCI_1001;Learn Mao's work.;;;;;;;;;;;;;x,,
EVTOPTD_MARXISTSOCI_1001;What else?;;;;;;;;;;;;;x,,
,,
#Convert to Universalism,,
